tag,total,count,indicators,subfield,sample_bibs
650,40545168,1736139,07,2,2400 2400 2400 2400 4166 5086 5086 5086 49800 52250 941694 941694 953896 953896 953896 1026450 1026450 1026450 1075313 1136553 1843802 1911005 1911005 1911005 1965561 1965561 1965561 1965561 2010198 2010198 2829288 2829288 2858283 2858283 2858283 2866226 2914003 2914003 2935553 2935553 3804012 3804012 3815893 3815893 3844216 3844216 3862773 3862773 3862773 3866196 4826471 4826471 4826471 4826471 4827111 4827141 4827752 4833039 4834702 4834702 6019318 6019318 6020612 6020612 6020612 6024108 6028157 6031857 6031857 6033079 7622946 7622946 7633053 7633056 7639909 7639909 7639982 7639982 7640205 7640205 9378279 9378279 9378279 9378478 9378478 9378502 9378502 9378502 9378539 9378539 11055555 11055638 11063056 11063056 11070325 11070325 11071356 11071356 11071356 11071356 12638685 12648126 12648126 12654457 12654457 12654626 12656812 12657720 12661337 12663876 14423506 14423506 14423506 14423506 14423506 14423568 14423568 14424868 14424868 14425159 15589981 15589985 15589985 15589985 15590016 15590016 15590029 15590039 15590104 15590104
650,40545168,1327097,_7,a,693 693 1303 1887 1988 1988 2096 2319 2319 2395 908010 908335 909112 910090 910825 912108 912108 912971 913181 913729 1830601 1830601 1835564 1835564 1835663 1836667 1836667 1836667 1836839 1836929 2803703 2805113 2805669 2805669 2805774 2806226 2808476 2808600 2809312 2810254 3803563 3804011 3804012 3804067 3804067 3804067 3805522 3806213 3808380 3811554 4825254 4825254 4825254 4825652 4825955 4826471 4826471 4826471 4826471 4826471 6017271 6017271 6017271 6017489 6017489 6017489 6019462 6019594 6019594 6019594 7622246 7622420 7622420 7622874 7622874 7622874 7622908 7622945 7622945 7622945 9371464 9371464 9371606 9371606 9371606 9371694 9371694 9371694 9372329 9372371 11053430 11055294 11055638 11055666 11055666 11055703 11055704 11055704 11055704 11056350 12638398 12638458 12638458 12638458 12638470 12638470 12638486 12638486 12638518 12638521 14406410 14406411 14406412 14406413 14406414 14406415 14406416 14406417 14406418 14406419 15589775 15589775 15589775 15589777 15589778 15589780 15589780 15589780 15589780 15589781
650,40545168,1325274,_7,2,693 693 1303 1887 1988 1988 2096 2319 2319 2395 908010 908335 909112 910090 910825 912108 912108 912971 913181 913729 1830601 1830601 1835564 1835564 1835663 1836667 1836667 1836667 1836839 1836929 2803703 2805113 2805669 2805669 2805774 2806226 2808476 2808600 2809312 2810254 3803563 3804011 3804012 3804067 3804067 3804067 3805522 3806213 3808380 3811554 4825254 4825254 4825254 4825652 4825955 4826471 4826471 4826471 4826471 4826471 6017271 6017271 6017271 6017489 6017489 6017489 6019462 6019594 6019594 6019594 7622246 7622420 7622420 7622874 7622874 7622874 7622908 7622945 7622945 7622945 9371464 9371464 9371606 9371606 9371606 9371694 9371694 9371694 9372329 9372371 11053430 11055294 11055638 11055666 11055666 11055703 11055704 11055704 11055704 11056350 12638398 12638458 12638458 12638458 12638470 12638470 12638486 12638486 12638518 12638521 14406410 14406411 14406412 14406413 14406414 14406415 14406416 14406417 14406418 14406419 15589775 15589775 15589775 15589777 15589778 15589780 15589780 15589780 15589780 15589781
650,40545168,1098250,_0,y,56 59 65 67 102 102 106 156 203 213 907241 907243 907245 907247 907247 907254 907256 907267 907269 907269 1830200 1830244 1830259 1830397 1830434 1830467 1830467 1830583 1830595 1830610 2803251 2803254 2803286 2803328 2803394 2803405 2803406 2803448 2803503 2803503 3802853 3802861 3802867 3802870 3802890 3802916 3802916 3802925 3802934 3802955 4824459 4824462 4824478 4824478 4824485 4824488 4824488 4824500 4824502 4824503 6017168 6017183 6017184 6017191 6017216 6017220 6017237 6017237 6017242 6017245 7606671 7609662 7611059 7611059 7611059 7611253 7611254 7611254 7611312 7611320 9371079 9371079 9371090 9371109 9371138 9371138 9371176 9371176 9371193 9371221 11054530 11054538 11054545 11054585 11054639 11054639 11055121 11055192 11055533 11055545 12638517 12638682 12638682 12638682 12638689 12638689 12638690 12638743 12638786 12638788 14415736 14415740 14415740 14415740 14415760 14415765 14415885 14415919 14415934 14415934 15589734 15589738 15589743 15589743 15589746 15589760 15589761 15589764 15589764 15589766
650,40545168,933390,_7,0,693 693 1303 1887 1988 1988 2096 2319 2319 2395 908010 908335 910090 910825 912108 912108 912971 913181 913729 919108 1830601 1830601 1835564 1835564 1835663 1836667 1836667 1836667 1837432 1837432 2805669 2805669 2805774 2806226 2808476 2808600 2809312 2810961 2810961 2811475 3803563 3804012 3804067 3804067 3804067 3805522 3806213 3808380 3811554 3811554 4825254 4825254 4825254 4825652 4826471 4826471 4826471 4826471 4826471 4826471 6017271 6017271 6017271 6017489 6017489 6017489 6019594 6019594 6019594 6019594 7622420 7622420 7622874 7622874 7622874 7622908 7622945 7622945 7622945 7622946 9371464 9371464 9371606 9371606 9371606 9371694 9371694 9371694 9372371 9372660 11053430 11055294 11055666 11055666 11055703 11055704 11055704 11055704 11056708 11056875 12638398 12638458 12638458 12638458 12638470 12638470 12638486 12638486 12638518 12638521 14406918 14406918 14406918 14406918 14406918 14408892 14415729 14415729 14415729 14415730 15589775 15589775 15589775 15589777 15589778 15589780 15589780 15589780 15589780 15589781
650,40545168,749370,_0,0,3 242 242 690 966 966 966 966 1142 1142 907268 908010 908335 908460 908460 908693 908693 909331 909750 910174 1831564 1832373 1832373 1832373 1832373 1832502 1832502 1835512 1835512 1835663 2803536 2803536 2803536 2803536 2803880 2805034 2805040 2805126 2805187 2805187 3802858 3803978 3803978 3805222 3805222 3805222 3805365 3805377 3805385 3807591 4825652 4825735 4827169 4827169 4827169 4827169 4827169 4827602 4828266 4828266 6017489 6017489 6019214 6020264 6021268 6021546 6021546 6022395 6022395 6023197 7622945 7622945 7622945 7623087 7623238 7623793 7624622 7624753 7624819 7625447 9371333 9372980 9372980 9372980 9372980 9373284 9373823 9373823 9373823 9374428 11053781 11054943 11055564 11056697 11056834 11057877 11057877 11057877 11058860 11058860 12638371 12638371 12638371 12638371 12638470 12638547 12638547 12638547 12638547 12638754 14406918 14406918 14415730 14415730 14415730 14415740 14415740 14415740 14415740 14415740 15589734 15589736 15589736 15589738 15589738 15589741 15589741 15589742 15589744 15589746
650,40545168,253038,_2,a,103 103 151 151 154 204 204 324 324 324 908615 908616 908631 912587 914291 914291 914291 914291 914345 914345 1830120 1830122 1830123 1830126 1830126 1830130 1830131 1830132 1830133 1830136 2803310 2803336 2803354 2803354 2803437 2803437 2803437 2803437 2803443 2803464 3802940 3802940 3802940 3802942 3802959 3802959 3803226 3803441 3803459 3803472 4824465 4824915 4824915 4824915 4824915 4824915 4824935 4824935 4825116 4825116 6017259 6017356 6017356 6017522 6017522 6017522 6017657 6017657 6017657 6018150 7612872 7612872 7613343 7613343 7615990 7615990 7620134 7620160 7620160 7620715 9373794 9373794 9373794 9374860 9374860 9375171 9375171 9375210 9375210 9375210 11054993 11054993 11055518 11056589 11069756 11069785 11069935 11069935 11069935 11072125 12638868 12638893 12641163 12644438 12644439 12644444 12644487 12644488 12644488 12645254 14416176 14416188 14416188 14416188 14416254 14416302 14416516 14416516 14416516 14416516 15593204 15601959 15601959 15601967 15602675 15604256 15605921 15607049 15607088 15607714
650,40545168,187418,_7,x,2532 5327 5327 5462 5677 7143 7198 9417 9544 10712 909112 910090 912971 912971 919556 925839 925839 925839 928065 929857 1836667 1836667 1841846 1849569 1855396 1861075 1861692 1870105 1872181 1872181 2803703 2812757 2812961 2815029 2815029 2816211 2817062 2817062 2821721 2822209 3808380 3814162 3814866 3814987 3814987 3815893 3816177 3816177 3819842 3819931 4825254 4826471 4826497 4827221 4827357 4827602 4827602 4827724 4829247 4829247 6017271 6017271 6017489 6019462 6019594 6019594 6019594 6019594 6021268 6021546 7622420 7622420 7622908 7622945 7622945 7622945 7623150 7624081 7624217 7624217 9371464 9371464 9371606 9371606 9371694 9372329 9372371 9372660 9372773 9372773 11055666 11055704 11056875 11056875 11057178 11057211 11057578 11057594 11057611 11062461 12638470 12638486 12638486 12638671 12638678 12638689 12638690 12638694 12638750 12638750 14406918 14415738 14415738 14415740 14415740 14415740 14415755 14415765 14415784 14415784 15589789 15589789 15589789 15589800 15589816 15589827 15589836 15589841 15589844 15589854
650,40545168,106123,_4,a,21508 60987 77666 84983 124425 169925 215784 215784 230701 246773 926576 957729 957729 957729 957729 1002003 1014037 1014146 1014146 1016462 1837973 1837973 1843802 1843802 1843802 1843802 1843802 1865940 1886443 1947148 2803497 2803497 2803522 2803634 2803638 2803749 2803749 2803763 2803771 2804000 3806731 3814416 3814416 3818374 3820528 3822766 3825219 3826012 3826012 3826012 4825506 4825506 4825821 4826005 4826486 4826808 4826808 4827111 4828314 4828487 6017177 6018319 6018319 6018319 6018560 6019132 6019313 6021395 6021395 6021395 7623103 7623818 7624232 7626731 7626987 7628529 7628529 7628529 7628534 7628780 9379124 9380405 9381031 9381134 9396676 9407971 9407971 9407971 9409261 9415988 11055493 11056726 11056808 11057464 11057464 11057739 11057739 11060627 11062434 11062434 12640114 12643381 12645205 12645205 12646226 12646226 12648108 12648108 12648108 12648364 14415966 14416821 14416821 14416821 14421276 14424449 14424449 14424449 14424449 14425404 15589799 15589803 15589805 15589813 15589814 15589817 15589820 15589829 15589830 15589834
650,40545168,70897,_2,x,818 841 943 972 1552 1552 1552 2128 2317 3070 914291 914291 914346 920434 920434 938237 944973 944973 944973 944973 1830123 1830136 1830159 1830164 1830164 1830170 1830245 1830246 1830246 1830246 2803310 2803354 2803354 2803437 2803464 2803588 2803588 2803761 2803975 2805371 3802940 3802940 3803441 3803459 3803489 3803495 3803495 3803959 3803961 3803987 4824465 4824915 4824915 4824915 4824915 4825116 4825116 4825313 4825313 4825556 6017522 6018709 6021370 6021370 6022382 6022382 6023039 6023039 6023392 6023918 7613343 7620160 7620160 7620715 7620715 7621722 7623128 7623279 7625807 7625813 9373794 9373794 9375210 9375210 9375291 9375317 9375317 9375317 9375317 9375913 11072125 11076217 11079214 11083371 11090992 11090992 11098015 11102987 11120812 11121522 12650341 12658699 12663942 12664058 12664106 12667956 12668789 12668817 12668910 12671829 14416516 14416518 14416518 14416521 14416521 14416521 14416522 14416523 14416525 14416526 15604256 15607049 15607088 15624227 15626027 15626994 15632229 15632269 15633050 15633205
